# x0=40, y0=-20, x1=40, y1=-56.3, x2=40, y2=-63.8
# time  ux_r0  uy_r0  ux_r1  uy_r1  ux_r2  uy_r2
0 0 0 0 0 0 0
8.33e-06 0 0 0 0 0 0
1.666e-05 0 0 0 0 0 0
2.499e-05 0 0 0 0 0 0
3.332e-05 0 0 0 0 0 0
4.165e-05 0 0 0 0 0 0
4.998e-05 0 0 0 0 0 0
0.00144109 2.78006e-40 1.84478e-52 2.56664e-79 -7.31042e-84 1.82253e-87 4.11366e-91
0.00144942 2.12973e-40 3.91311e-53 4.46238e-79 -1.03503e-83 2.27615e-87 5.16367e-91
0.00145775 1.29283e-40 -1.35837e-52 6.92363e-79 -1.40156e-83 2.78704e-87 6.26022e-91
0.00146608 2.57003e-41 -3.39499e-52 1.00378e-78 -1.82842e-83 3.34484e-87 7.30689e-91
0.00147441 -9.86908e-41 -5.6964e-52 1.38866e-78 -2.30663e-83 3.93036e-87 8.15629e-91
0.00148274 -2.44406e-40 -8.22636e-52 1.85386e-78 -2.81789e-83 4.51275e-87 8.59688e-91
0.00149107 -4.11473e-40 -1.09333e-51 2.40382e-78 -3.33169e-83 5.0461e-87 8.33934e-91
0.0014994 -5.99344e-40 -1.37493e-51 3.03926e-78 -3.80204e-83 5.46559e-87 7.00352e-91
0.00150773 -8.0681e-40 -1.65901e-51 3.7555e-78 -4.16408e-83 5.68316e-87 4.10765e-91
0.00151606 -1.03192e-39 -1.93554e-51 4.54052e-78 -4.33072e-83 5.58284e-87 -9.37662e-92
0.00152439 -1.27188e-39 -2.19293e-51 5.37254e-78 -4.18968e-83 5.01602e-87 -8.82774e-91
0.00153272 -1.52303e-39 -2.41822e-51 6.21731e-78 -3.60128e-83 3.79674e-87 -2.03503e-90
0.00154105 -1.78073e-39 -2.59741e-51 7.02515e-78 -2.39766e-83 1.69766e-87 -3.63555e-90
0.00154938 -2.03936e-39 -2.71562e-51 7.72755e-78 -3.83974e-84 -1.55297e-87 -5.77033e-90
0.00155771 -2.29227e-39 -2.75757e-51 8.23381e-78 2.65744e-83 -6.27242e-87 -8.51821e-90
0.00156604 -2.53179e-39 -2.70828e-51 8.42754e-78 6.95914e-83 -1.28219e-86 -1.19392e-89
0.00157437 -2.74926e-39 -2.55344e-51 8.16345e-78 1.27557e-82 -2.16013e-86 -1.60584e-89
0.0015827 -2.93507e-39 -2.28011e-51 7.26464e-78 2.02648e-82 -3.30379e-86 -2.08452e-89
